model_name,model_label,model_size_b,dataset,p_value
EleutherAI/pythia-410m-deduped,Deduped,0.41,stackexchange,0.007263740824561954
EleutherAI/pythia-410m-deduped,Deduped,0.41,wikipedia,0.08368528533586633
EleutherAI/pythia-410m-deduped,Deduped,0.41,cc,0.6047250756732641
EleutherAI/pythia-410m-deduped,Deduped,0.41,github,0.26974590048108793
EleutherAI/pythia-410m-deduped,Deduped,0.41,openwebtext2,0.1868870457478174
EleutherAI/pythia-410m-deduped,Deduped,0.41,freelaw,0.1607644404177133
EleutherAI/pythia-410m-deduped,Deduped,0.41,math,0.11269290817548153
EleutherAI/pythia-410m-deduped,Deduped,0.41,nih,5.064669959930242e-06
EleutherAI/pythia-410m-deduped,Deduped,0.41,uspto,0.01722933645764563
EleutherAI/pythia-410m-deduped,Deduped,0.41,hackernews,0.4312353486813898
EleutherAI/pythia-410m-deduped,Deduped,0.41,enron,4.980858124157255e-05
EleutherAI/pythia-410m-deduped,Deduped,0.41,books3,0.37830229411772237
EleutherAI/pythia-410m-deduped,Deduped,0.41,gutenberg,0.5326317090175874
EleutherAI/pythia-410m-deduped,Deduped,0.41,arxiv,0.14320016154259455
EleutherAI/pythia-410m-deduped,Deduped,0.41,bookcorpus2,0.001400981730180782
EleutherAI/pythia-410m-deduped,Deduped,0.41,opensubtitles,0.0003106797655551465
EleutherAI/pythia-410m-deduped,Deduped,0.41,youtubesubtitles,0.0013465935702979626
EleutherAI/pythia-410m-deduped,Deduped,0.41,ubuntu,2.439839895392639e-13
EleutherAI/pythia-410m-deduped,Deduped,0.41,europarl,0.0028033651188382473
EleutherAI/pythia-410m-deduped,Deduped,0.41,philpapers,1.969167682754865e-05
