seed,heldout_member_count,heldout_nonmember_count,member_mean_score,nonmember_mean_score,mean_gap_nonmember_minus_member,t_statistic,p_value
11,30,30,-1.404327630996704,0.029346143826842308,1.4336737394332886,-2.69982275916797,0.004677618077974098
12,30,30,-0.35941821336746216,0.8776045441627502,1.2370227575302124,-2.8564083566453813,0.003031820725855442
13,30,30,0.18623383343219757,0.34045034646987915,0.15421651303768158,-0.325548473824998,0.37297853747341636
14,30,30,-0.8201099634170532,0.4965033233165741,1.3166133165359497,-2.5545664259906378,0.007013196059795989
15,30,30,-0.7313413619995117,0.1740870624780655,0.905428409576416,-1.9555595020798913,0.027774952633425963
16,30,30,-0.6879201531410217,0.335718035697937,1.0236382484436035,-2.2365136417685862,0.015151667482180333
17,30,30,-1.783881425857544,0.6741082072257996,2.4579896926879883,-4.03192685449542,0.0001129757175471636
18,30,30,-0.506610095500946,0.4252986013889313,0.9319087266921997,-1.6980355387828674,0.04744412372754678
19,30,30,-1.4592753648757935,-0.6645039916038513,0.7947713732719421,-1.4183066668159756,0.08114849213752008
20,30,30,-0.6923338770866394,0.002514227293431759,0.6948481202125549,-1.5311804703979472,0.06558222318053025
