dataset,0.41 D,0.41 ND,1.4 D,1.4 ND,6.9 D,6.9 ND,12 D,12 ND
arxiv,0.9840233452480612,0.8980912633636303,0.9496886805766815,0.40840530048335244,0.6610275826352247,0.699334039900221,0.8371482865717679,0.3121153875080819
bookcorpus2,2.1589160124771188e-14,2.9461492946182693e-16,3.854088842762876e-14,1.4823935141231628e-14,5.473796181481082e-15,2.6022181415096305e-11,2.0719375131836615e-13,4.829935250786676e-09
books3,0.006059416031997788,0.00018684390832706383,0.0002601182531636295,8.41327462062805e-05,1.6489213930259438e-08,1.3622079654781254e-06,2.3291198259820237e-05,8.44612220677553e-06
cc,0.6172989889684068,0.3244392636822938,0.2515130399302671,0.07742116704656767,0.11004706382213278,0.05526887615783618,0.04867097253454625,0.11900882373466365
europarl,1.2231971614345958e-06,9.185872021900945e-05,7.424310142165683e-08,1.0841894845694927e-07,2.732472397865731e-07,3.1129370326221246e-07,1.43383015093669e-06,8.320327220339082e-05
freelaw,0.24975272634276197,0.4152672982117942,0.7746950261374479,0.3277670101433942,0.7493820553127326,0.02979895551476271,0.05202285478603745,0.03183278776140042
github,0.212864343701486,0.12910805915627757,0.08536375196726909,0.26312458499880576,0.0718758540335061,0.04665258374978632,0.07474137840493739,0.1384131804500997
gutenberg,0.008914338371669373,0.00012234871919343583,0.0066396812664464575,0.00030890550680186095,0.0004672896501455965,5.668213239500495e-05,0.0007062793768500107,1.2135687330244874e-07
hackernews,0.0003808889403426068,0.0005186336268383896,7.220445128769926e-05,9.850217855463903e-07,5.063312135120565e-07,1.4752247548204237e-07,2.811747908534072e-07,2.9270828580630487e-06
math,0.011760662590551137,0.0009252060407647066,0.0012637481158702174,0.00030103628977880476,0.14963683857770216,0.009556150587209333,0.0001897155156112269,0.0012187524823483954
opensubtitles,0.24646780182347844,0.003273309900324675,0.09072334339457687,0.0075730309250693455,0.011571671676833456,0.03574507957873863,0.0002629947788369696,0.00977776901865339
openwebtext2,0.7375055965550601,0.697890650030738,0.5599759353616773,0.15542828879511544,0.42092144416726546,0.3750238342084365,0.6992483582652662,0.4459075951973316
philpapers,1.1591600104570598e-23,2.6588519115392105e-24,1.4594910312316607e-18,2.231012046901942e-25,2.190681179697546e-18,3.387167197132542e-22,1.8555419299398258e-22,8.826343859827484e-18
stackexchange,0.03708817117033021,0.0003212832316366859,0.5355685975577913,1.5535578496118823e-05,0.628084758548066,0.36965822312647023,0.43398056794124523,0.0008451494627475119
ubuntu,5.1243078004704726e-74,3.828924203974599e-15,4.558768397633889e-53,6.31966697150398e-19,2.0599404495466114e-66,3.0426873472058426e-44,1.8799217730318799e-66,2.884111512519271e-70
uspto,3.7465692621088043e-06,0.015127129368813086,2.3383016830964804e-06,1.7624377135800379e-07,0.0012670227974094519,0.02098771619574768,9.215516120397484e-05,0.011208770131748728
wikipedia,1.4245539449096162e-05,5.004484504868814e-06,9.717769653463583e-06,1.5406422442153536e-07,2.3202979938247524e-05,2.673606622563692e-13,0.00013662157531756149,6.136789112008981e-10
youtubesubtitles,2.0717223945782464e-33,1.8823670748064231e-31,3.427128866561666e-19,1.3957993393955823e-09,1.2558941532811098e-14,5.994331615798847e-34,6.499476835994953e-27,2.711858930922857e-24
